фото,описание,ожидаемый результат
12,1, обычный тест
13,1, 2 маленьких предмета помещаются в маленкую фигуру
8,1, обычный тест
5,0, маленький предмет и маленькая фигура 
10,1, обычный тест
9,1, помещается только под определенным углом
11,1, невыпуклая фигура каждый предмет помещается в отдельный уголок
3,0, предмет не помещается из-за невыпуклости фигуры
19,1, предметы помещаются впритык но перспективное искажение мешает разместить(
21,0, 3 предмет не помещается в 10угольник
14,1, один из самых сложных если не самый сложный тест. можно уложить все предметы только если первый будет уложен в опред. местах
15,0, 2 больших предмета и большая фигура каждый помещается по отдельности
1,1, разминочка 
2,0, разминочный тест тут первая же фигура не помещается в многоугольник не помню зачем так делал)
4,1, маленький предмет и маленькая фигура
6,0, 2 маленьких предмета из которых помещается только меньший
7,1, помещается только под определенным углом
16,0, третий предмет немного не помещается
17,1, разминочный тест)
18,1, разминочный тест
20,1, предметы помещаются в определенной комбинации в 10угольник
22,1, 10-угольник
23,1, усложненная версия 22 теста теперь впритык)
24,1, только фигура тут размещение ничего в чем-то)
25,0, ничего вывожу False хотя это философский вопрос размещение ничего в ничего)
